FID,RESTROOMS,PICNIC,FISHING,AKA,AccessType,AccessID,Class,Address,Fee,BikeRack,BikeTrail,DogTube,Grills,TrashCans,ParkSpaces,ADAsurface,ADAtoilet,ADAfishing,ADAcamping,ADApicnic,ADAtrail,ADAparking,ADAfacilit,ADAfacName,HorseTrail,DateFrom,DateTo,RecycleBin,DogCompost,AccessName,THLeash
0,Yes,Yes,No, ,TH,279,T3,621 Flagstaff Summit Rd,Yes,No,No,1,Yes,4,12,Asphalt,Yes,No,No,Yes,Moderate,Yes,Yes,Wood Shelter,Not Recommended,12/31/2005 0:00,12/31/2099 0:00,Yes,No,Flagstaff Summit West,Yes
1,Yes,Yes,No, ,TH,277,T3,790 Flagstaff Summit Rd,Yes,Yes,No,1,Yes,6,56,Asphalt,Yes,No,No,Yes,Difficult,Yes,Yes,Nature Center,Not Recommended,12/31/2005 0:00,12/31/2099 0:00,Yes,No,Flagstaff Summit East,Yes
2,No,No,No, ,TH,502a,T1,4705 95th St,No,Yes,Yes,0,No,1,6,No,No,No,No,No,No,No,No, ,Not Recommended,12/31/2005 0:00,12/31/2099 0:00,No,No,East Boulder Trail at White Rocks,Yes
3,Yes,Yes,Yes, ,TH,417,T3,2500 Left-hand Canyon Dr,No,Yes,No,1,Yes,2,35,Crusher Fines,Yes,No,No,Yes,Difficult,Yes,No, ,Possible,12/31/2005 0:00,12/31/2099 0:00,Yes,No,Buckingham Park,Yes
4,No,Yes,Yes, ,TH,286,T2,101 Pearl St,No,Yes,No,1,No,2,27,Cement/Crusher,No,No,No,Yes,Easy,Yes,No, ,Not Recommended,12/31/2005 0:00,12/31/2099 0:00,Yes,No,Settler's Park,Yes
5,Yes,Yes,No, ,TH,308,T3,301 Sunshine Canyon Rd,No,Yes,No,1,No,2,31,Roadbase/Crusher,Yes,No,No,Yes,Difficult,Yes x 2,No, ,Not Recommended,12/31/2005 0:00,12/31/2099 0:00,Yes,No,Centennial,Yes
6,Yes,Yes,Yes, ,TH,503a,T3,8331 Arapahoe,No,Yes,Yes,1,No,2,31,Crusher Fines,Yes,Yes,No,Yes,Easy,Yes,Yes,Fishing Dock,Possible,12/31/2005 0:00,12/31/2099 0:00,Yes,Yes,Teller Farm South,Yes
7,No,No,Yes, ,TH,503,T2,8990 Valmont,No,Yes,Yes,1,No,1,35,Crusher Fines,No,Yes,No,No,Easy,Yes,Yes,Overlook,Possible,12/31/2005 0:00,12/31/2099 0:00,No,Yes,Teller Farm North,Yes
8,No,No,No, ,TH,507,T1,5102 Independence Rd,No,Yes,Yes,1,No,1,21,Roadbase/Crusher,No,No,No,No,Easy,Yes,No, ,Possible,12/31/2005 0:00,12/31/2099 0:00,No,Yes,Cottonwood,Yes
9,No,No,No, ,TH,408,T1,3850 Neva Rd,No,Yes,Yes,1,No,1,36,No,No,No,No,No,No,No,No, ,Possible,12/31/2005 0:00,12/31/2099 0:00,No,No,Left Hand,Yes
10,Yes,No,No,Sage,TH,409,T1,3900 Longhorn Rd,No,Yes,Yes,1,No,1,18,Crusher Fines,Yes,No,No,No,Moderate-Difficult,Yes,No, ,Possible,12/31/2005 0:00,12/31/2099 0:00,No,Yes,Boulder Valley Ranch,Yes
11,No,No,No, ,TH,410,T1,5797 51st St,No,Yes,Yes,1,No,1,24,Roadbase,No,No,No,No,Moderate-Most Difficult,Yes,No, ,Possible,12/31/2005 0:00,12/31/2099 0:00,No,Yes,Eagle,Yes
12,No,No,No, ,TH,403,T1,420 Lee Hill Rd,No,Yes,Yes,1,No,1,37,Crusher Fines,No,No,No,No,Moderate,Yes,No, ,Possible,12/31/2005 0:00,12/31/2099 0:00,No,No,Four Mile Creek,Yes
